[03:14:53 - INFO] Attack Started to 192.168.56.78:443 with GET method for 80 seconds, request per connection: 10!
[03:14:53 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 0, BPS: -- B / 0%
[03:14:54 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 2.60k, BPS: 1.90 MB / 1%
[03:14:55 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.85k, BPS: 3.55 MB / 2%
[03:14:56 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 2.58k, BPS: 1.89 MB / 3%
[03:14:57 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.66k, BPS: 3.42 MB / 5%
[03:14:58 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 3.42k, BPS: 2.51 MB / 6%
[03:14:59 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 3.71k, BPS: 2.72 MB / 7%
[03:15:00 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.19k, BPS: 3.07 MB / 8%
[03:15:01 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 3.42k, BPS: 2.50 MB / 10%
[03:15:02 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 3.88k, BPS: 2.84 MB / 11%
[03:15:03 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.80k, BPS: 3.52 MB / 12%
[03:15:04 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.84k, BPS: 3.55 MB / 13%
[03:15:05 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.75k, BPS: 3.49 MB / 15%
[03:15:06 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.84k, BPS: 3.55 MB / 16%
[03:15:07 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.62k, BPS: 3.39 MB / 17%
[03:15:08 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.88k, BPS: 3.58 MB / 18%
[03:15:09 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.86k, BPS: 3.56 MB / 20%
[03:15:10 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.81k, BPS: 3.53 MB / 21%
[03:15:11 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.66k, BPS: 3.41 MB / 22%
[03:15:12 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.89k, BPS: 3.59 MB / 23%
[03:15:13 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.87k, BPS: 3.57 MB / 25%
[03:15:15 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 3.35k, BPS: 2.46 MB / 26%
[03:15:16 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 2.90k, BPS: 2.13 MB / 27%
[03:15:17 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 3.87k, BPS: 2.84 MB / 28%
[03:15:18 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 4.84k, BPS: 3.55 MB / 30%
[03:15:19 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 3.90k, BPS: 2.86 MB / 31%
[03:15:20 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 3.08k, BPS: 2.26 MB / 32%
[03:15:21 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 2.82k, BPS: 2.06 MB / 33%
[03:15:22 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 3.60k, BPS: 2.64 MB / 35%
[03:15:23 - DEBUG] Target: 192.168.56.78, Port: 443, Method: GET, PPS: 2.15k, BPS: 1.57 MB / 36%
