[03:23:25 - INFO] Attack Started to 192.168.56.78:443 with POST method for 80 seconds, request per connection: 10!
[03:23:25 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 0%
[03:23:26 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 1%
[03:23:27 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 2%
[03:23:28 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 3%
[03:23:29 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 5%
[03:23:30 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 6%
[03:23:31 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 7%
[03:23:32 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 8%
[03:23:33 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 10%
[03:23:34 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 11%
[03:23:35 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 12%
[03:23:36 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 13%
[03:23:37 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 15%
[03:23:38 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 16%
[03:23:39 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 17%
[03:23:40 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 18%
[03:23:41 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 20%
[03:23:42 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 21%
[03:23:43 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 22%
[03:23:44 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 23%
[03:23:45 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 25%
[03:23:46 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 26%
[03:23:47 - DEBUG] Target: 192.168.56.78, Port: 443, Method: POST, PPS: 0, BPS: -- B / 27%
