[05:00:06 - INFO] Attack Started to 192.168.56.78:80 with TCP method for 80 seconds
[05:00:06 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 0, BPS: -- B / 0%
[05:00:07 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 901.61k, BPS: 850.74 MB / 1%
[05:00:08 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 979.30k, BPS: 924.43 MB / 2%
[05:00:09 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 978.29k, BPS: 928.53 MB / 3%
[05:00:10 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 949.96k, BPS: 901.32 MB / 5%
[05:00:11 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 991.13k, BPS: 937.06 MB / 6%
[05:00:12 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 1.96m, BPS: 915.04 MB / 7%
[05:00:13 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 36.94k, BPS: 950.00 MB / 8%
[05:00:14 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 1.00m, BPS: 950.01 MB / 10%
[05:00:15 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 1.00m, BPS: 950.01 MB / 11%
[05:00:16 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 1.00m, BPS: 950.01 MB / 12%
[05:00:17 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 1.01m, BPS: 950.00 MB / 13%
[05:00:18 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 1.00m, BPS: 950.01 MB / 15%
[05:00:19 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 1.01m, BPS: 950.01 MB / 16%
[05:00:20 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 1.00m, BPS: 950.01 MB / 17%
[05:00:21 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 1.01m, BPS: 950.00 MB / 18%
[05:00:22 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 1.01m, BPS: 945.13 MB / 20%
[05:00:23 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 1.01m, BPS: 950.01 MB / 21%
[05:00:24 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 1.01m, BPS: 950.01 MB / 22%
[05:00:25 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 981.51k, BPS: 928.24 MB / 23%
[05:00:26 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 959.31k, BPS: 905.38 MB / 25%
[05:00:27 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 959.92k, BPS: 907.91 MB / 26%
[05:00:28 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 992.22k, BPS: 938.64 MB / 27%
[05:00:29 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 12.17k, BPS: 950.01 MB / 28%
[05:00:30 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 952.09k, BPS: 904.35 MB / 30%
[05:00:31 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 995.58k, BPS: 942.61 MB / 31%
[05:00:32 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 1.00m, BPS: 950.01 MB / 32%
[05:00:33 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 1.00m, BPS: 948.69 MB / 33%
[05:00:34 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 993.88k, BPS: 942.76 MB / 35%
[05:00:35 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 996.70k, BPS: 940.51 MB / 36%
[05:00:36 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 925.02k, BPS: 877.87 MB / 37%
[05:00:37 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 1.86m, BPS: 879.88 MB / 38%
[05:00:38 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 952.14k, BPS: 903.66 MB / 40%
[05:00:39 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 946.06k, BPS: 897.65 MB / 41%
[05:00:40 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 55.61k, BPS: 950.01 MB / 42%
[05:00:41 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 924.76k, BPS: 878.92 MB / 44%
[05:00:42 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 971.96k, BPS: 918.75 MB / 45%
[05:00:43 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 972.35k, BPS: 918.93 MB / 46%
[05:00:44 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 956.33k, BPS: 904.92 MB / 47%
[05:00:45 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 47.12k, BPS: 950.01 MB / 49%
[05:00:46 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 956.99k, BPS: 908.18 MB / 50%
[05:00:47 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 977.23k, BPS: 923.27 MB / 51%
[05:00:48 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 982.91k, BPS: 929.67 MB / 52%
[05:00:49 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 978.39k, BPS: 925.73 MB / 54%
[05:00:50 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 1.96m, BPS: 930.74 MB / 55%
[05:00:51 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 929.14k, BPS: 878.99 MB / 56%
[05:00:52 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 73.99k, BPS: 950.01 MB / 57%
[05:00:53 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 831.93k, BPS: 791.52 MB / 59%
[05:00:54 - DEBUG] Target: 192.168.56.78, Port: 80, Method: TCP, PPS: 914.07k, BPS: 866.15 MB / 60%
